iter	RMSE
0	0.4159580191
1	0.4095468752
2	0.4032367101
3	0.3974025644
4	0.3885826613
5	0.3849136236
6	0.3767482846
7	0.3721325575
8	0.3654910944
9	0.3614955675
10	0.3573432411
11	0.3517405074
12	0.3478639761
13	0.3429425454
14	0.3378643574
15	0.3347537383
16	0.3304104082
17	0.3276943601
18	0.3251256418
19	0.3225305877
20	0.3201576198
21	0.3175606745
22	0.314667748
23	0.3125949209
24	0.3105973492
25	0.3092351338
26	0.3076058661
27	0.3054933892
28	0.3034191359
29	0.3021610151
30	0.300488187
31	0.2983399775
32	0.2973350529
33	0.2959018304
34	0.2937820941
35	0.2921645028
36	0.2915356127
37	0.290564336
38	0.2890004835
39	0.2883968357
40	0.2875620515
41	0.286390197
42	0.2858142238
43	0.2853474711
44	0.2843569195
45	0.2830122437
46	0.2821131711
47	0.2813053546
48	0.2801714479
49	0.2793022441
50	0.2783583015
51	0.2776361858
52	0.2765150293
53	0.2753876589
54	0.2746847411
55	0.2742609502
56	0.2735506071
57	0.2723290427
58	0.2719075605
59	0.270823547
60	0.2702411846
61	0.2698390783
62	0.2692174327
63	0.2682600085
64	0.2677650538
65	0.2668489294
66	0.2663637423
67	0.2653738412
68	0.2649589388
69	0.2646685018
70	0.2640537827
71	0.2636669104
72	0.262875001
73	0.2620613109
74	0.2616830893
75	0.2613241535
76	0.2609507564
77	0.2600428043
78	0.2597246692
79	0.2592521664
80	0.2583888041
81	0.2580195269
82	0.257371415
83	0.257039939
84	0.2563692118
85	0.2560813017
86	0.2558780096
87	0.2556869234
88	0.2554961458
89	0.2548953864
90	0.254293578
91	0.2538272031
92	0.253438658
93	0.2529064593
94	0.2527874195
95	0.2524003957
96	0.2519818861
97	0.2518751051
98	0.2516828466
99	0.2515984137
100	0.2504091554
101	0.2503104501
102	0.2498877197
103	0.2490482826
104	0.2483173478
105	0.2476250857
106	0.2474014322
107	0.2471677348
108	0.2466584479
109	0.2463809828
110	0.2461736521
111	0.2458305313
112	0.2455998101
113	0.2449539532
114	0.2448086912
115	0.2447283232
116	0.2443686111
117	0.2441108799
118	0.2437072734
119	0.2435159665
120	0.243248809
121	0.2430682739
122	0.2429411498
123	0.2427483819
124	0.2421864747
125	0.2417138702
126	0.2412718842
127	0.2407850565
128	0.2404271496
129	0.2401788945
130	0.2393476894
131	0.2391216401
132	0.2388624166
133	0.2385090937
134	0.2383150052
135	0.2381252329
136	0.2377589014
137	0.2374031671
138	0.2370838
139	0.2368960454
140	0.2368062073
141	0.2363680027
142	0.2358749295
143	0.2356467934
144	0.2353906078
145	0.2351446063
146	0.2348797853
147	0.2346125594
148	0.2343808264
149	0.2342082842
150	0.2339484625
151	0.2336219839
152	0.23305672
153	0.2328392238
154	0.2325442175
155	0.2324356729
156	0.2321988563
157	0.2319891992
158	0.2318699164
159	0.2315290232
160	0.2313520325
161	0.2311221074
162	0.2308252831
163	0.2306292064
164	0.2305028534
165	0.2303348254
166	0.230171282
167	0.2300288384
168	0.2298607687
169	0.2292987185
170	0.2291597652
171	0.2289419463
172	0.2287472697
173	0.2285697055
174	0.2282588103
175	0.2281243201
176	0.2276120047
177	0.2275246681
178	0.2272941691
179	0.227017693
180	0.2264713598
181	0.226334497
182	0.2262792062
183	0.2258823226
184	0.2255388182
185	0.225398534
186	0.224947412
187	0.2245597199
188	0.2244683039
189	0.2243038392
190	0.224236116
191	0.2241023941
192	0.2239721102
193	0.2237367045
194	0.2236176767
195	0.2234942211
196	0.2232806962
197	0.2232427256
198	0.2230882547
199	0.22293127
200	0.222768939
201	0.2226583016
202	0.2223554394
203	0.2219584117
204	0.2217649931
205	0.2216374989
206	0.2214884071
207	0.2214000481
208	0.2212235359
209	0.2211791115
210	0.2209198764
211	0.2206078113
212	0.22052108
213	0.2203227873
214	0.2201795995
215	0.2200010823
216	0.2198670476
217	0.219599164
218	0.2195677234
219	0.2193122641
220	0.2191661758
221	0.2189941566
222	0.2188837865
223	0.2184958678
224	0.2181773621
225	0.2178506673
226	0.2176607374
227	0.2175192754
228	0.2172285407
229	0.2171834978
230	0.2170442677
231	0.2168592128
232	0.216709343
233	0.2166419951
234	0.2164096995
235	0.2162164292
236	0.2160738506
237	0.2158191509
238	0.2156921317
239	0.2155672332
240	0.2153977838
241	0.2150773245
242	0.214990575
243	0.2146684884
244	0.2145993668
245	0.2144499406
246	0.2142082047
247	0.2140797962
248	0.2138673001
249	0.2136954672
250	0.2134564498
251	0.2131746721
252	0.2131117276
253	0.2130039841
254	0.2128913044
255	0.2128295353
256	0.2126671546
257	0.212602913
258	0.2124316215
259	0.2122986812
260	0.2120379756
261	0.211880222
262	0.2117140158
263	0.2116547887
264	0.2114633414
265	0.2113585325
266	0.2112797177
267	0.2111769116
268	0.2109468849
269	0.2108740604
270	0.2106326573
271	0.2104276655
272	0.2103288021
273	0.2102601007
274	0.2101779363
275	0.2100627537
276	0.2099673745
277	0.2098257252
278	0.209656549
279	0.2095144557
280	0.2093466468
281	0.2090444348
282	0.2089355724
283	0.2088769862
284	0.2087708605
