iter	Passed	Remaining
0	7	2988
1	14	2894
2	20	2739
3	26	2659
4	33	2607
5	39	2572
6	46	2611
7	55	2714
8	61	2676
9	68	2652
10	74	2626
11	80	2612
12	89	2669
13	98	2724
14	107	2760
15	114	2752
16	120	2725
17	127	2701
18	133	2683
19	139	2659
20	146	2640
21	152	2623
22	159	2608
23	167	2618
24	181	2729
25	191	2753
26	200	2770
27	218	2907
28	230	2947
29	248	3058
30	266	3167
31	287	3307
32	299	3326
33	305	3288
34	313	3273
35	320	3240
36	326	3201
37	332	3166
38	338	3137
39	345	3105
40	351	3076
41	357	3048
42	365	3033
43	372	3016
44	378	2989
45	385	2964
46	391	2939
47	397	2915
48	403	2892
49	409	2866
50	417	2857
51	424	2837
52	430	2816
53	436	2797
54	442	2773
55	448	2752
56	453	2731
57	463	2731
58	473	2736
59	491	2785
60	500	2778
61	506	2763
62	513	2749
63	523	2748
64	530	2731
65	536	2715
66	545	2710
67	552	2698
68	558	2680
69	564	2662
70	570	2644
71	576	2627
72	587	2633
73	593	2616
74	599	2599
75	605	2582
76	611	2565
77	617	2549
78	629	2555
79	635	2540
80	641	2526
81	647	2509
82	652	2492
83	658	2477
84	664	2463
85	670	2449
86	676	2433
87	682	2418
88	690	2414
89	699	2410
90	707	2401
91	715	2394
92	723	2388
93	735	2392
94	750	2409
95	760	2407
96	777	2427
97	793	2444
98	799	2430
99	805	2416
100	812	2404
101	817	2388
102	823	2373
103	830	2364
104	838	2354
105	844	2342
106	850	2328
107	856	2315
108	862	2302
109	867	2288
110	873	2274
111	879	2261
112	885	2249
113	891	2237
114	897	2224
115	902	2210
116	908	2197
117	914	2185
118	920	2173
119	926	2161
120	936	2159
121	944	2151
122	952	2144
123	967	2152
124	976	2149
125	991	2155
126	1008	2167
127	1015	2157
128	1023	2150
129	1032	2144
130	1042	2141
131	1048	2128
132	1054	2116
133	1061	2107
134	1068	2096
135	1073	2084
136	1080	2073
137	1085	2060
138	1091	2050
139	1098	2039
140	1103	2027
141	1109	2015
142	1114	2003
143	1120	1992
144	1126	1981
145	1133	1972
146	1140	1962
147	1145	1950
148	1151	1939
149	1156	1928
150	1163	1918
151	1169	1907
152	1175	1897
153	1182	1888
154	1188	1878
155	1194	1868
156	1200	1858
157	1206	1847
158	1212	1838
159	1218	1827
160	1223	1816
161	1230	1807
162	1236	1797
163	1242	1787
164	1248	1778
165	1254	1768
166	1260	1758
167	1267	1750
168	1273	1741
169	1280	1731
170	1285	1722
171	1292	1713
172	1298	1703
173	1304	1693
174	1310	1684
175	1315	1674
176	1322	1665
177	1328	1656
178	1334	1647
179	1340	1638
180	1346	1629
181	1352	1620
182	1358	1610
183	1364	1602
184	1370	1593
185	1376	1583
186	1382	1574
187	1389	1567
188	1404	1567
189	1414	1562
190	1430	1565
191	1445	1566
192	1462	1568
193	1476	1568
194	1484	1560
195	1489	1550
196	1495	1541
197	1501	1532
198	1507	1522
199	1513	1513
200	1521	1506
201	1527	1497
202	1533	1488
203	1539	1479
204	1546	1470
205	1552	1462
206	1558	1453
207	1564	1444
208	1571	1435
209	1578	1427
210	1584	1419
211	1590	1410
212	1595	1401
213	1602	1392
214	1607	1383
215	1614	1374
216	1619	1366
217	1625	1357
218	1631	1348
219	1637	1339
220	1643	1330
221	1648	1322
222	1655	1313
223	1661	1305
224	1667	1297
225	1681	1294
226	1697	1293
227	1704	1285
228	1710	1277
229	1717	1269
230	1723	1260
231	1729	1252
232	1735	1243
233	1741	1235
234	1747	1226
235	1755	1220
236	1761	1211
237	1767	1203
238	1773	1194
239	1779	1186
240	1785	1178
241	1791	1169
242	1796	1160
243	1802	1152
244	1808	1144
245	1814	1136
246	1821	1128
247	1827	1119
248	1833	1111
249	1839	1103
250	1846	1096
251	1864	1094
252	1880	1092
253	1896	1090
254	1902	1081
255	1908	1073
256	1914	1065
257	1920	1057
258	1926	1048
259	1932	1040
260	1938	1032
261	1944	1024
262	1950	1016
263	1958	1008
264	1964	1000
265	1970	992
266	1975	984
267	1981	975
268	1987	967
269	1993	959
270	2005	954
271	2011	946
272	2017	938
273	2025	931
274	2031	923
275	2037	915
276	2043	907
277	2049	899
278	2055	891
279	2062	883
280	2068	875
281	2074	867
282	2080	860
283	2085	851
284	2091	843
285	2097	835
286	2102	827
287	2108	819
288	2114	812
289	2120	804
290	2126	796
291	2131	788
292	2137	780
293	2144	773
294	2150	765
295	2156	757
296	2161	749
297	2167	741
298	2173	734
299	2179	726
300	2185	718
301	2192	711
302	2197	703
303	2203	695
304	2209	688
305	2214	680
306	2220	672
307	2227	665
308	2233	657
309	2239	650
310	2246	642
311	2254	635
312	2263	629
313	2270	621
314	2276	614
315	2281	606
316	2287	598
317	2292	591
318	2298	583
319	2304	576
320	2310	568
321	2315	561
322	2321	553
323	2327	545
324	2332	538
325	2338	530
326	2344	523
327	2350	515
328	2355	508
329	2361	500
330	2367	493
331	2373	486
332	2378	478
333	2384	471
334	2390	463
335	2396	456
336	2402	449
337	2407	441
338	2413	434
339	2419	426
340	2425	419
341	2434	412
342	2442	405
343	2448	398
344	2454	391
345	2460	383
346	2469	377
347	2475	369
348	2481	362
349	2488	355
350	2493	348
351	2499	340
352	2505	333
353	2510	326
354	2515	318
355	2521	311
356	2527	304
357	2533	297
358	2539	289
359	2544	282
360	2550	275
361	2556	268
362	2562	261
363	2568	254
364	2574	246
365	2579	239
366	2585	232
367	2591	225
368	2596	218
369	2602	211
370	2608	203
371	2614	196
372	2619	189
373	2625	182
374	2631	175
375	2637	168
376	2642	161
377	2648	154
378	2653	147
379	2659	139
380	2665	132
381	2670	125
382	2676	118
383	2682	111
384	2688	104
385	2693	97
386	2699	90
387	2712	83
388	2719	76
389	2725	69
390	2730	62
391	2736	55
392	2742	48
393	2749	41
394	2754	34
395	2760	27
396	2767	20
397	2778	13
398	2784	6
399	2790	0
