iter	Passed	Remaining
0	1129	902255
1	2339	933538
2	3942	1047381
3	5029	1000903
4	5905	938935
5	6824	903085
6	7689	871116
7	8543	845829
8	9264	814216
9	10189	804971
10	10845	777940
11	11316	743145
12	11858	717925
13	12397	696005
14	12942	677320
15	13573	665084
16	14317	659445
17	15011	652169
18	16066	660424
19	17159	669231
20	18685	693144
21	20035	708526
22	21304	719724
23	22070	713604
24	22958	711702
25	23737	706660
26	24539	702569
27	25512	703415
28	26203	696643
29	26851	689176
30	27351	678486
31	27808	667401
32	28210	655691
33	28659	645688
34	29085	635723
35	29512	626312
36	29987	618388
37	30553	612669
38	31029	605476
39	31739	603044
40	32907	609192
41	34003	613686
42	35294	621340
43	36773	631836
44	38681	648994
45	39378	645463
46	40098	642424
47	40977	641987
48	41823	641008
49	42631	639473
50	43298	635898
51	43926	631867
52	44356	625171
53	44854	619661
54	45238	612779
55	45826	608840
56	46314	603712
57	46839	599221
58	47304	594113
59	47690	588185
60	48106	582800
61	48738	580148
62	50026	585236
63	51256	589453
64	52477	593394
65	53729	597534
66	54823	599780
67	55698	599581
68	56696	600652
69	57549	600156
70	58360	599225
71	59082	597394
72	60015	597693
73	61035	598808
74	62028	599605
75	62936	599550
76	63566	596865
77	64070	593060
78	64486	588542
79	65047	585429
80	66226	587862
81	67488	590933
82	68893	595143
83	70390	599996
84	71705	603172
85	72830	604665
86	73551	602780
87	74423	602152
88	75286	601446
89	76013	599661
90	76937	599437
91	77351	595268
92	77783	591324
93	78240	587637
94	78706	584086
95	79185	580691
96	79657	577308
97	80129	573987
98	80631	570935
99	81111	567780
100	81616	564848
101	82381	563750
102	83351	564038
103	84656	566547
104	86278	571078
105	87710	574253
106	89036	576659
107	89893	575987
108	90693	574947
109	91484	573856
110	92495	574138
111	93301	573139
112	93895	570854
113	94434	568263
114	94900	565277
115	95353	562258
116	95900	559828
117	96314	556663
118	96746	553649
119	97269	551193
120	97828	548970
121	98391	546796
122	99165	545812
123	100440	547565
124	101716	549271
125	103151	551778
126	104544	554001
127	105684	554844
128	106799	555521
129	107775	555457
130	108687	555051
131	109494	554106
132	110334	553329
133	110995	551661
134	111443	548964
135	111959	546626
136	112467	544277
137	112992	542035
138	113428	539395
139	114024	537546
140	114642	535810
141	115135	533513
142	115593	531081
143	116331	529954
144	117174	529305
145	118212	529529
146	119709	531772
147	122063	537739
148	124630	544525
149	125833	545277
150	126988	545798
151	128033	545827
152	128833	544805
153	129678	543975
154	130439	542796
155	131174	541513
156	131690	539345
157	132125	536863
158	132549	534365
159	133052	532209
160	133506	529879
161	133964	527586
162	134457	525457
163	134860	522995
164	135349	520891
165	136145	519975
166	137214	520101
167	138594	521380
168	140058	522940
169	141437	524151
170	142556	524374
171	143276	523127
172	144025	521987
173	144793	520924
174	145592	519973
175	146345	518860
176	147132	517872
177	147629	515875
178	148149	513972
179	148625	511931
180	149042	509707
181	149507	507668
182	150090	506043
183	150532	503955
184	150971	501878
185	151386	499739
186	151854	497790
187	152495	496422
188	153788	497167
189	155108	497978
190	156491	498971
191	157850	499861
192	159435	501436
193	160589	501633
194	161313	500484
195	162001	499227
196	162734	498115
197	163498	497102
198	164145	495734
199	164644	493934
200	165103	492023
201	165710	490569
202	166178	488711
203	166695	487012
204	167234	485388
205	167666	483465
206	168145	481693
207	168679	480087
208	169403	479031
209	170402	478748
210	171832	479664
211	172935	479650
212	174552	481043
213	176271	482686
214	177410	482722
215	178204	481811
216	179020	480964
217	179741	479860
218	180562	479026
219	181120	477499
220	181684	475996
221	182149	474245
222	182626	472535
223	183083	470786
224	183590	469175
225	184120	467634
226	184608	465994
227	185063	464282
228	185614	462820
229	186456	462086
230	187350	461482
231	188763	462144
232	190017	462401
233	191609	463464
234	193205	464514
235	194559	464965
236	195450	464299
237	196158	463198
238	196948	462293
239	197599	461065
240	198065	459413
241	198442	457566
242	198968	456070
243	199435	454450
244	199974	453003
245	200434	451385
246	200928	449853
247	201422	448326
248	201941	446867
249	202447	445383
250	202892	443776
251	203355	442217
252	203948	440948
253	204431	439446
254	205067	438281
255	205994	437738
256	206904	437155
257	207691	436313
258	208651	435832
259	209412	434933
260	210284	434266
261	211154	433591
262	211624	432100
263	212089	430606
264	212705	429423
265	213125	427853
266	213547	426295
267	214002	424810
268	214427	423275
269	215006	422050
270	215499	420661
271	215953	419203
272	216419	417776
273	216883	416353
274	217324	414891
275	217802	413509
276	218259	412093
277	218688	410631
278	219166	409268
279	219586	407803
280	220090	406500
281	220568	405158
282	221129	403971
283	221977	403311
284	222912	402806
285	223857	402316
286	224543	401360
287	225446	400793
288	226301	400138
289	227146	399464
290	227741	398351
291	228213	397029
292	228640	395633
293	229083	394273
294	229622	393083
295	230134	391851
296	230565	390486
297	231065	389244
298	231551	387984
299	232134	386891
300	232645	385681
301	233202	384551
302	233684	383303
303	234167	382062
304	234636	380803
305	235071	379494
306	235512	378200
307	235973	376945
308	236467	375746
309	236954	374540
310	237403	373281
311	238344	372795
312	239091	372004
313	239780	371124
314	240635	370502
315	241471	369848
316	242355	369267
317	243216	368648
318	244112	368082
319	244626	366939
320	245058	365678
321	245656	364670
322	246033	363337
323	246475	362106
324	246948	360924
325	247433	359765
326	247878	358552
327	248319	357337
328	248767	356138
329	249176	354887
330	249624	353696
331	250051	352481
332	250508	351314
333	251012	350214
334	251480	349070
335	251897	347858
336	252323	346664
337	252738	345459
338	253190	344309
339	253672	343204
340	254202	342166
341	255164	341711
342	256107	341227
343	256958	340619
344	257836	340045
345	258732	339493
346	259544	338829
347	260464	338303
348	260979	337254
349	261406	336094
350	261863	334976
351	262374	333930
352	262860	332856
353	263248	331662
354	263707	330562
355	264165	329464
356	264748	328525
357	265285	327531
358	265823	326540
359	266360	325551
360	266817	324467
361	267293	323410
362	267782	322372
363	268200	321251
364	268665	320190
365	269127	319129
366	269504	317971
367	270025	316986
368	270570	316032
369	271531	315563
370	272193	314746
371	273056	314161
372	273879	313530
373	274603	312783
374	275375	312091
375	276178	311435
376	276852	310633
377	277392	309681
378	277820	308607
