date,sunrise,daylight_duration_sec,sunshine_duration_sec,precip_hours,rain_sum_in,temp_mean_f,weather_code_daily
2021-01-01,1609504956,35855.48,344.29437,15.0,40.299995,61.3862,65.0
2021-01-02,1609591367,35890.67,31808.38,0.0,0.0,55.397446,3.0
2021-01-03,1609677776,35928.54,29144.383,0.0,0.0,43.251198,3.0
2021-01-04,1609764183,35969.04,31786.445,0.0,0.0,42.8687,3.0
2021-01-05,1609850588,36012.13,32521.19,3.0,1.2,46.05995,53.0
2021-01-06,1609936990,36057.76,31764.582,0.0,0.0,40.02245,3.0
2021-01-07,1610023391,36105.883,10521.824,8.0,3.4999998,39.7187,61.0
2021-01-08,1610109789,36156.676,0.0,15.0,2.9000003,38.1062,51.0
2021-01-09,1610196185,36210.65,32899.64,0.0,0.0,34.446198,3.0
2021-01-10,1610282580,36267.715,31584.4,0.0,0.0,34.44995,3.0
2021-01-11,1610368973,36327.76,1504.3998,14.0,7.8999996,39.09245,71.0
2021-01-12,1610455364,36390.65,14457.846,1.0,0.1,39.21245,51.0
2021-01-13,1610541753,36456.273,32403.963,1.0,0.3,36.56495,71.0
2021-01-14,1610628141,36524.504,33294.934,0.0,0.0,39.62495,2.0
2021-01-15,1610714527,36595.22,30070.955,3.0,1.5,44.20745,53.0
2021-01-16,1610800911,36668.3,24606.646,0.0,0.0,36.51995,3.0
2021-01-17,1610887293,36743.633,33534.77,0.0,0.0,37.6487,3.0
2021-01-18,1610973674,36821.09,33619.34,0.0,0.0,40.07495,1.0
2021-01-19,1611060053,36900.562,21139.332,0.0,0.0,42.7937,3.0
2021-01-20,1611146430,36981.934,31965.375,0.0,0.0,45.8537,3.0
2021-01-21,1611232806,37065.09,3600.0,15.0,7.1,47.0387,61.0
2021-01-22,1611319180,37149.914,14081.096,4.0,0.8,45.63995,51.0
2021-01-23,1611405553,37236.297,34070.945,0.0,0.0,43.95995,2.0
2021-01-24,1611491924,37324.133,32537.2,1.0,1.0,47.42495,55.0
2021-01-25,1611578293,37413.312,7261.8223,13.0,4.2999997,57.928703,53.0
2021-01-26,1611664661,37503.727,34128.73,10.0,23.600002,61.35245,65.0
2021-01-27,1611751027,37595.27,16105.152,13.0,12.6,53.1512,63.0
2021-01-28,1611837391,37688.203,34559.453,0.0,0.0,37.45745,3.0
2021-01-29,1611923754,37783.41,34662.125,0.0,0.0,35.4287,3.0
2021-01-30,1612010114,37880.81,28521.934,0.0,0.0,38.4362,3.0
2021-01-31,1612096473,37980.26,2379.991,15.0,17.4,45.2237,63.0
2021-02-01,1612182830,38081.633,3529.4321,1.0,0.1,37.47245,51.0
2021-02-02,1612269185,38184.78,35036.777,0.0,0.0,35.10995,3.0
2021-02-03,1612355539,38289.586,35099.04,0.0,0.0,34.0862,2.0
2021-02-04,1612441891,38395.91,10694.48,0.0,0.0,38.58995,3.0
2021-02-05,1612528241,38503.62,31897.469,6.0,4.2,47.54495,61.0
2021-02-06,1612614590,38612.594,8862.195,9.0,6.7999997,38.04995,73.0
2021-02-07,1612700938,38722.707,35347.027,8.0,5.4,39.4562,73.0
2021-02-08,1612787285,38833.84,35408.48,0.0,0.0,42.0887,3.0
2021-02-09,1612873630,38945.88,24787.576,3.0,0.3,53.038704,51.0
2021-02-10,1612959975,39058.69,35616.09,0.0,0.0,53.132446,3.0
2021-02-11,1613046318,39172.17,0.0,14.0,29.800001,56.16995,63.0
2021-02-12,1613132661,39286.207,0.0,22.0,14.400002,49.21745,63.0
2021-02-13,1613219002,39400.684,0.0,18.0,18.600002,41.14745,61.0
2021-02-14,1613305343,39515.49,0.0,11.0,1.3000001,43.239952,51.0
2021-02-15,1613391683,39630.52,0.0,21.0,12.4,44.016197,63.0
2021-02-16,1613478023,39745.66,29210.582,0.0,0.0,30.7937,3.0
2021-02-17,1613564361,39861.19,32949.242,2.0,1.2,35.6612,55.0
2021-02-18,1613650698,39978.05,8816.673,18.0,14.400002,42.4412,63.0
2021-02-19,1613737034,40096.19,32407.547,1.0,0.1,39.45995,51.0
2021-02-20,1613823367,40215.504,37046.297,0.0,0.0,36.0137,1.0
2021-02-21,1613909700,40335.883,37077.938,0.0,0.0,42.467453,3.0
2021-02-22,1613996031,40457.21,24587.984,11.0,2.9,50.559948,53.0
2021-02-23,1614082361,40579.395,37348.418,0.0,0.0,48.91745,0.0
2021-02-24,1614168690,40702.32,37419.312,0.0,0.0,52.164948,0.0
2021-02-25,1614255018,40825.89,37182.938,0.0,0.0,57.058697,3.0
2021-02-26,1614341346,40950.004,15090.145,12.0,11.0,50.44745,61.0
2021-02-27,1614427672,41074.56,24818.246,2.0,0.2,58.21745,51.0
2021-02-28,1614513998,41199.46,22884.5,3.0,0.70000005,64.78745,51.0
2021-03-01,1614600323,41324.617,0.0,8.0,3.2999997,57.5762,61.0
2021-03-02,1614686648,41449.92,3484.1477,9.0,3.9,44.49995,55.0
2021-03-03,1614772973,41575.285,38225.63,7.0,6.2000003,47.657448,61.0
2021-03-04,1614859297,41700.617,38312.367,0.0,0.0,51.789948,0.0
2021-03-05,1614945621,41825.816,34505.22,0.0,0.0,49.764946,3.0
2021-03-06,1615031945,41950.797,4883.4185,0.0,0.0,45.1562,3.0
2021-03-07,1615118269,42075.46,38793.363,0.0,0.0,44.376198,0.0
2021-03-08,1615204593,42199.72,38963.227,0.0,0.0,46.7987,0.0
2021-03-09,1615290917,42323.83,35657.84,0.0,0.0,50.10995,3.0
2021-03-10,1615377240,42448.656,38493.004,0.0,0.0,54.497448,3.0
2021-03-11,1615463562,42574.184,36106.066,0.0,0.0,58.059948,3.0
2021-03-12,1615549883,42700.32,38651.805,0.0,0.0,60.714943,3.0
2021-03-13,1615636204,42826.984,29351.246,4.0,0.5,61.83245,51.0
2021-03-14,1615722523,42954.086,39418.805,0.0,0.0,63.373703,3.0
2021-03-15,1615808842,43081.547,26999.781,2.0,0.70000005,62.342445,53.0
2021-03-16,1615895161,43209.277,0.0,23.0,24.6,52.3937,63.0
2021-03-17,1615981479,43337.2,8172.0337,12.0,13.5,54.7262,63.0
2021-03-18,1616067797,43465.223,29118.742,9.0,11.099999,60.977448,63.0
2021-03-19,1616154115,43593.277,10683.088,4.0,1.1,49.652447,51.0
2021-03-20,1616240432,43721.266,40476.848,0.0,0.0,46.93745,3.0
2021-03-21,1616326750,43849.11,36502.66,1.0,0.1,51.876198,51.0
2021-03-22,1616413068,43976.727,41088.453,0.0,0.0,56.132454,3.0
