iter	Passed	Remaining
0	64	64340
1	114	57256
2	154	51185
3	202	50374
4	249	49620
5	297	49229
6	348	49367
7	394	48918
8	446	49160
9	492	48753
10	539	48527
11	597	49225
12	646	49087
13	698	49159
14	736	48344
15	786	48354
16	835	48304
17	906	49453
18	970	50110
19	1048	51394
20	1160	54098
21	1310	58236
22	1421	60401
23	1522	61903
24	1635	63774
25	1756	65800
26	1899	68466
27	1964	68189
28	2011	67356
29	2060	66620
30	2145	67076
31	2205	66728
32	2254	66067
33	2304	65460
34	2353	64878
35	2404	64392
36	2452	63820
37	2501	63318
38	2547	62782
39	2606	62566
40	2660	62222
41	2711	61842
42	2760	61442
43	2811	61090
44	2860	60700
45	2908	60313
46	2960	60028
47	3009	59696
48	3061	59423
49	3112	59136
50	3161	58837
51	3209	58511
52	3257	58205
53	3307	57935
54	3357	57689
55	3401	57338
56	3450	57089
57	3504	56909
58	3553	56679
59	3611	56572
60	3660	56344
61	3711	56153
62	3764	55988
63	3812	55756
64	3861	55549
65	3924	55536
66	3987	55526
67	4041	55389
68	4088	55161
69	4141	55027
70	4189	54818
71	4242	54681
72	4289	54472
73	4340	54318
74	4390	54149
75	4489	54577
76	4610	55260
77	4696	55510
78	4749	55366
79	4796	55159
80	4869	55247
81	4936	55267
82	4979	55019
83	5033	54886
84	5078	54671
85	5148	54722
86	5200	54574
87	5251	54421
88	5324	54501
89	5379	54387
90	5430	54242
91	5475	54038
92	5524	53875
93	5575	53742
94	5637	53702
95	5690	53585
96	5738	53416
97	5788	53274
98	5839	53149
99	5890	53012
100	5971	53155
101	6051	53280
102	6106	53179
103	6154	53026
104	6203	52878
105	6252	52731
106	6296	52550
107	6344	52402
108	6392	52250
109	6444	52140
110	6492	51995
111	6541	51863
112	6587	51706
113	6639	51604
114	6690	51487
115	6740	51370
116	6787	51225
117	6836	51097
118	6881	50945
119	6926	50794
120	6972	50650
121	7018	50511
122	7068	50398
123	7114	50261
124	7186	50303
125	7256	50332
126	7304	50211
127	7352	50089
128	7401	49973
129	7449	49855
130	7494	49717
131	7542	49599
132	7589	49471
133	7644	49403
134	7692	49290
135	7741	49182
136	7791	49078
137	7839	48968
138	7881	48817
139	7920	48654
140	7970	48556
141	8014	48425
142	8096	48522
143	8142	48403
144	8191	48303
145	8235	48172
146	8283	48069
147	8330	47958
148	8382	47876
149	8425	47745
150	8477	47662
151	8524	47555
