iter	RMSE
0	0.4151758815
1	0.4039274475
2	0.3942243454
3	0.3851035395
4	0.3764110047
5	0.3713853764
6	0.3637068291
7	0.3589163748
8	0.3516976562
9	0.345430112
10	0.3410105607
11	0.3353493182
12	0.330116989
13	0.3270510085
14	0.3238991153
15	0.3198952639
16	0.3157934873
17	0.3127698506
18	0.3095315413
19	0.3066798082
20	0.304383614
21	0.3021924321
22	0.3000189496
23	0.2983327987
24	0.2966356876
25	0.2947987611
26	0.2932422411
27	0.2918451242
28	0.2900218929
29	0.2882600899
30	0.2864623027
31	0.2846840425
32	0.2830613323
33	0.2822564798
34	0.280728877
35	0.2795675289
36	0.2779958827
37	0.2768939177
38	0.2757897383
39	0.2746733237
40	0.2732671224
41	0.2722585658
42	0.2714193733
43	0.2704929414
44	0.2694312546
45	0.2681532625
46	0.2670378423
47	0.2658706985
48	0.2648913004
49	0.2644798009
50	0.2640028899
51	0.2630120509
52	0.2622417176
53	0.2616746863
54	0.2608903344
55	0.2601621184
56	0.2594628152
57	0.2587386461
58	0.2582420327
59	0.2578400413
60	0.2575592566
61	0.2567895513
62	0.2560209418
63	0.2552215799
64	0.2545523584
65	0.2540304777
66	0.2533413403
67	0.2528693677
68	0.2519783985
69	0.251661438
70	0.2512145601
71	0.2503290449
72	0.2495731044
73	0.2489434001
74	0.248027125
75	0.2476465097
76	0.2471762921
77	0.2469969721
78	0.2464522091
79	0.2456287816
80	0.2452522726
81	0.2445132158
82	0.243816478
83	0.2435710744
84	0.243363799
85	0.2431713163
86	0.2426298722
87	0.2422721724
88	0.2420092775
89	0.2415763403
90	0.2414677603
91	0.2409367119
92	0.2407368763
93	0.2405851742
94	0.2404010341
95	0.2395835644
96	0.2392178017
97	0.2386999931
98	0.2384102654
99	0.238131489
100	0.237852384
101	0.2373181982
102	0.2372584605
103	0.2366625443
104	0.2365085888
105	0.2360124726
106	0.2356832378
107	0.2350770179
108	0.2348358454
109	0.2345919157
110	0.2344840781
111	0.2342520252
112	0.2340264246
113	0.2337187186
114	0.2335294168
115	0.2330476157
116	0.2328448639
117	0.2324097387
118	0.2322885504
119	0.2318729011
120	0.2314955126
121	0.2311490721
122	0.2306304564
123	0.2301654869
124	0.2294471865
125	0.2291554393
126	0.2289028576
127	0.2286936275
128	0.2280708805
129	0.2277563824
130	0.2276610521
131	0.2274226378
132	0.2270223036
133	0.2268495416
134	0.226621059
135	0.226245707
136	0.2259963012
137	0.2258665429
138	0.2257957145
139	0.2255798101
140	0.2251120691
141	0.2248363569
142	0.224655779
143	0.2244614115
144	0.2241426293
145	0.2238279768
146	0.2237597635
147	0.223438356
148	0.2232734482
149	0.223091841
150	0.2228407718
151	0.2226274743
152	0.2223870759
153	0.2221205765
154	0.2219158852
155	0.2217555753
156	0.2216133227
157	0.2214897879
158	0.2212805036
159	0.2210889033
160	0.22077054
161	0.2206145395
162	0.2204951158
163	0.2201603882
164	0.2198774677
165	0.2196490525
