iter	Passed	Remaining
0	10	5433
1	19	4841
2	27	4625
3	36	4478
4	44	4414
5	52	4351
6	61	4320
7	69	4277
8	78	4265
9	86	4250
10	95	4246
11	103	4223
12	112	4207
13	120	4186
14	129	4179
15	137	4166
16	146	4156
17	155	4159
18	164	4171
19	173	4158
20	182	4152
21	190	4138
22	198	4124
23	207	4115
24	215	4103
25	224	4083
26	232	4072
27	241	4064
28	249	4057
29	258	4049
30	266	4039
31	275	4031
32	284	4022
33	292	4005
34	300	3995
35	308	3981
36	317	3967
37	329	4000
38	337	3985
39	345	3971
40	353	3962
41	362	3953
42	371	3943
43	379	3930
44	388	3925
45	403	3979
46	411	3969
47	420	3961
48	429	3949
49	437	3934
50	445	3920
51	453	3910
52	461	3896
53	470	3886
54	485	3928
55	493	3912
56	501	3900
57	510	3888
58	518	3875
59	526	3860
60	534	3844
61	542	3833
62	550	3819
63	558	3803
64	569	3811
65	577	3795
66	584	3779
67	592	3764
68	600	3752
69	613	3771
70	623	3765
71	635	3778
72	659	3854
73	682	3927
74	701	3974
75	715	3990
76	730	4015
77	751	4067
78	762	4065
79	772	4054
80	786	4067
81	811	4136
82	832	4181
83	853	4226
84	876	4279
85	888	4276
86	910	4322
87	918	4301
88	928	4289
89	936	4268
90	944	4245
91	952	4223
92	959	4200
93	966	4175
94	974	4153
95	982	4133
96	990	4113
97	998	4095
98	1006	4075
99	1013	4055
100	1022	4040
101	1031	4025
102	1039	4006
103	1046	3986
104	1054	3966
105	1063	3951
106	1071	3933
107	1080	3922
108	1088	3905
109	1096	3886
110	1103	3867
111	1111	3850
112	1120	3835
113	1128	3820
114	1137	3806
115	1145	3791
116	1153	3774
117	1161	3760
118	1169	3743
119	1178	3730
120	1187	3718
121	1195	3702
122	1206	3697
123	1215	3684
124	1224	3672
125	1232	3658
126	1238	3638
127	1247	3625
128	1255	3610
129	1263	3597
130	1271	3581
131	1279	3565
132	1286	3550
133	1294	3535
134	1302	3522
135	1311	3510
136	1319	3496
137	1326	3479
138	1334	3466
139	1343	3454
140	1352	3442
141	1360	3429
142	1368	3416
143	1376	3401
144	1384	3389
145	1392	3376
146	1400	3362
147	1408	3349
148	1416	3336
149	1424	3323
150	1432	3311
151	1440	3299
152	1460	3311
153	1467	3297
154	1475	3284
155	1483	3270
156	1490	3257
157	1498	3244
158	1507	3233
159	1517	3225
160	1527	3215
161	1540	3214
162	1555	3216
163	1566	3209
164	1582	3212
165	1598	3216
166	1614	3219
167	1626	3214
168	1634	3200
169	1642	3187
170	1650	3174
171	1659	3164
172	1666	3150
173	1681	3149
174	1689	3137
175	1697	3124
176	1704	3111
177	1713	3100
178	1722	3088
179	1729	3075
180	1738	3064
181	1746	3051
182	1754	3038
183	1761	3025
184	1769	3012
185	1777	3001
186	1785	2988
187	1793	2976
188	1801	2963
189	1808	2951
190	1817	2939
191	1824	2926
192	1832	2915
193	1841	2903
194	1848	2891
195	1857	2880
196	1866	2870
197	1873	2857
198	1880	2844
199	1888	2832
200	1895	2820
201	1903	2808
202	1912	2797
203	1920	2786
204	1929	2776
205	1937	2765
206	1945	2753
207	1960	2752
208	1990	2771
209	2011	2777
210	2024	2772
211	2038	2769
212	2055	2769
