npu,hour_ts,burglary_count,grid_density_7d,npu_crime_avg_30d,temp_f,is_raining,is_hot,is_cold,is_daylight,is_weekend,is_holiday,day_number,month,year,hour_sin,hour_cos,day_of_week,campus_distance_m,location_type_count
A,2021-01-03 10:00:00,1,1.0,0.0,41.7137,0,0,1,1,1,0,1,1,2021,0.5,-0.8660254,Sunday,6103.5853,40866.0
A,2021-01-04 15:00:00,1,1.0,1.0,53.8637,0,0,0,1,0,0,2,1,2021,-0.70710677,-0.70710677,Monday,6163.5035,93043.0
A,2021-01-07 22:00:00,1,1.0,1.0,38.3837,1,0,1,0,0,0,5,1,2021,-0.5,0.8660254,Thursday,7683.6371,39507.0
A,2021-01-14 07:00:00,1,1.0,1.0,29.8337,0,0,1,0,0,0,5,1,2021,0.9659258,-0.25881904,Thursday,6291.3682,40866.0
A,2021-01-15 02:00:00,1,1.0,1.3333333333333333,41.1737,0,0,1,0,0,0,6,1,2021,0.5,0.8660254,Friday,6753.453,93043.0
A,2021-01-17 00:00:00,1,2.0,1.2857142857142858,29.5637,0,0,1,0,1,0,1,1,2021,0.0,1.0,Sunday,6129.842,93043.0
A,2021-01-17 08:00:00,1,4.0,1.2857142857142858,31.3637,0,0,1,1,1,0,1,1,2021,0.8660254,-0.5,Sunday,6103.5853,40866.0
A,2021-01-17 18:00:00,1,1.0,1.2857142857142858,42.4337,0,0,1,0,1,0,1,1,2021,-1.0,-1.8369701e-16,Sunday,6543.1581,8259.0
A,2021-01-19 18:00:00,1,2.0,1.625,47.9237,0,0,0,0,0,0,3,1,2021,-1.0,-1.8369701e-16,Tuesday,8627.1404,93043.0
A,2021-01-22 06:00:00,1,5.0,1.4545454545454546,42.3437,1,0,1,0,0,0,6,1,2021,1.0,6.123234e-17,Friday,6103.5853,40866.0
A,2021-01-23 06:00:00,1,6.0,1.4166666666666667,33.6137,0,0,1,0,1,0,7,1,2021,1.0,6.123234e-17,Saturday,6103.5853,7161.0
A,2021-01-23 21:00:00,1,1.0,1.4166666666666667,46.3037,0,0,0,0,1,0,7,1,2021,-0.70710677,0.70710677,Saturday,9421.7952,39507.0
A,2021-01-27 05:00:00,1,3.0,1.4666666666666666,52.5137,1,0,0,0,0,0,4,1,2021,0.9659258,0.25881904,Wednesday,6397.793,40866.0
