project,run_id,model,dataset,MAE,RMSE,R2,MAPE,timestamp,url
rolling-cv,cky70tbu,CatBoostRegressor,npu_dense_panel,0.006253071805990636,0.061313299491305186,0.97087543392647,1290951.8591328887,2025-12-02T18:55:56Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/cky70tbu
rolling-cv,8tsbfhfx,CatBoostRegressor,npu_dense_panel,0.006253071805990636,0.061313299491305186,0.97087543392647,1290951.8591328887,2025-12-02T14:32:11Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/8tsbfhfx
rolling-cv,wfcwxyrw,RandomForest,npu_dense_panel,0.006975134181508701,0.06914074151566264,0.962950276293544,0.4709259295580969,2025-12-02T14:28:15Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/wfcwxyrw
rolling-cv,g77jgpsi,RandomForest,npu_dense_panel,0.006975134181508701,0.06914074151566263,0.962950276293544,0.4709259295580969,2025-12-02T18:50:47Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/g77jgpsi
rolling-cv,6s1jtfv7,XGBRegressor,npu_dense_panel,0.007884539908913002,0.06935378757523883,0.962676436133816,5802361.732357614,2025-12-02T14:29:03Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/6s1jtfv7
rolling-cv,6jb4mdbx,XGBRegressor,npu_dense_panel,0.007884539908913002,0.06935378757523883,0.962676436133816,5802361.732357614,2025-12-02T18:51:43Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/6jb4mdbx
rolling-cv,tllb3g07,LinearRegression,npu_dense_panel,0.021613293817843427,0.12486062063365248,0.8793462750060894,62772.71765870668,2025-12-02T18:49:06Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/tllb3g07
rolling-cv,opj8b5k2,LinearRegression,npu_dense_panel,0.021613293817843427,0.12486062063365248,0.8793462750060894,62772.71765870668,2025-12-02T14:26:39Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/opj8b5k2
rolling-cv,3mmeyj9l,CatBoostRegressor,npu_sparse_panel,0.06482810732013863,0.19417564033566492,0.776022673538396,4.303552943910251,2025-12-02T14:23:49Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/3mmeyj9l
rolling-cv,kxiymh73,CatBoostRegressor,npu_sparse_panel,0.06482810732013863,0.19417564033566492,0.776022673538396,4.303552943910251,2025-12-02T18:46:26Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/kxiymh73
rolling-cv,vxpihmmg,CatBoost,,0.06832993972012621,0.2012071779445991,0.7594903204225602,4.539904973104964,2025-12-02T09:52:44Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/vxpihmmg
rolling-cv,17hn6mad,RandomForest,,0.06954955458863088,0.21316866850374455,0.7296283209276622,4.715579226555438,2025-12-02T09:50:56Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/17hn6mad
rolling-cv,4ma1uxl2,RandomForest,npu_sparse_panel,0.07004681128169554,0.2195469270245917,0.7129623073958615,4.7427550100911375,2025-12-02T14:23:03Z,https://wandb.ai/joshuadariuspina-georgia-state-university/rolling-cv/runs/4ma1uxl2
